Datetime,AEP_MW
2018-08-02 01:00:00,13286.0
2018-08-02 02:00:00,12587.0
2018-08-02 03:00:00,12296.0
2018-08-02 04:00:00,12059.0
2018-08-02 05:00:00,12224.0
2018-08-02 06:00:00,12781.0
2018-08-02 07:00:00,13661.0
2018-08-02 08:00:00,14326.0
2018-08-02 09:00:00,14834.0
2018-08-02 10:00:00,15309.0
2018-08-02 11:00:00,16025.0
2018-08-02 12:00:00,16651.0
2018-08-02 13:00:00,17423.0
2018-08-02 14:00:00,18067.0
2018-08-02 15:00:00,18534.0
2018-08-02 16:00:00,18826.0
2018-08-02 17:00:00,18869.0
2018-08-02 18:00:00,18562.0
2018-08-02 19:00:00,18118.0
2018-08-02 20:00:00,17673.0
2018-08-02 21:00:00,17303.0
2018-08-02 22:00:00,17001.0
2018-08-02 23:00:00,15964.0
2018-08-03 00:00:00,14809.0
2018-08-01 01:00:00,13538.0
2018-08-01 02:00:00,12903.0
2018-08-01 03:00:00,12506.0
2018-08-01 04:00:00,12206.0
2018-08-01 05:00:00,12295.0
2018-08-01 06:00:00,12714.0
2018-08-01 07:00:00,13512.0
2018-08-01 08:00:00,14139.0
2018-08-01 09:00:00,14685.0
2018-08-01 10:00:00,15223.0
2018-08-01 11:00:00,15648.0
2018-08-01 12:00:00,16116.0
2018-08-01 13:00:00,16623.0
2018-08-01 14:00:00,17008.0
2018-08-01 15:00:00,17146.0
2018-08-01 16:00:00,17193.0
2018-08-01 17:00:00,17183.0
2018-08-01 18:00:00,17204.0
2018-08-01 19:00:00,16870.0
2018-08-01 20:00:00,16579.0
2018-08-01 21:00:00,16457.0
2018-08-01 22:00:00,16197.0
2018-08-01 23:00:00,15259.0
2018-08-02 00:00:00,14125.0
2018-07-31 01:00:00,13501.0
2018-07-31 02:00:00,12787.0
2018-07-31 03:00:00,12382.0
2018-07-31 04:00:00,12275.0
2018-07-31 05:00:00,12498.0
2018-07-31 06:00:00,12926.0
2018-07-31 07:00:00,13871.0
2018-07-31 08:00:00,14554.0
2018-07-31 09:00:00,15072.0
2018-07-31 10:00:00,15480.0
2018-07-31 11:00:00,15975.0
2018-07-31 12:00:00,16157.0
2018-07-31 13:00:00,16566.0
2018-07-31 14:00:00,16882.0
2018-07-31 15:00:00,16984.0
2018-07-31 16:00:00,16780.0
2018-07-31 17:00:00,16687.0
2018-07-31 18:00:00,16874.0
2018-07-31 19:00:00,16727.0
2018-07-31 20:00:00,16674.0
2018-07-31 21:00:00,16556.0
2018-07-31 22:00:00,16252.0
2018-07-31 23:00:00,15504.0
2018-08-01 00:00:00,14424.0
2018-07-30 01:00:00,12927.0
2018-07-30 02:00:00,12397.0
2018-07-30 03:00:00,12096.0
2018-07-30 04:00:00,11938.0
2018-07-30 05:00:00,12109.0
2018-07-30 06:00:00,12559.0
2018-07-30 07:00:00,13474.0
2018-07-30 08:00:00,14033.0
2018-07-30 09:00:00,14623.0
2018-07-30 10:00:00,15168.0
2018-07-30 11:00:00,15872.0
2018-07-30 12:00:00,16353.0
2018-07-30 13:00:00,17001.0
2018-07-30 14:00:00,17582.0
2018-07-30 15:00:00,17889.0
2018-07-30 16:00:00,18176.0
2018-07-30 17:00:00,18262.0
2018-07-30 18:00:00,18174.0
2018-07-30 19:00:00,17875.0
2018-07-30 20:00:00,17307.0
2018-07-30 21:00:00,17022.0
2018-07-30 22:00:00,16725.0
2018-07-30 23:00:00,15592.0
2018-07-31 00:00:00,14363.0
2018-07-29 01:00:00,12177.0
2018-07-29 02:00:00,11523.0
2018-07-29 03:00:00,11124.0
2018-07-29 04:00:00,10862.0
2018-07-29 05:00:00,10649.0
2018-07-29 06:00:00,10748.0
2018-07-29 07:00:00,10812.0
2018-07-29 08:00:00,10966.0
2018-07-29 09:00:00,11786.0
2018-07-29 10:00:00,12651.0
2018-07-29 11:00:00,13427.0
2018-07-29 12:00:00,14206.0
2018-07-29 13:00:00,14925.0
2018-07-29 14:00:00,15496.0
2018-07-29 15:00:00,15937.0
2018-07-29 16:00:00,16209.0
2018-07-29 17:00:00,16464.0
2018-07-29 18:00:00,16645.0
2018-07-29 19:00:00,16414.0
2018-07-29 20:00:00,15997.0
2018-07-29 21:00:00,15616.0
2018-07-29 22:00:00,15476.0
2018-07-29 23:00:00,14665.0
2018-07-30 00:00:00,13680.0
2018-07-28 01:00:00,12886.0
2018-07-28 02:00:00,12167.0
2018-07-28 03:00:00,11765.0
2018-07-28 04:00:00,11518.0
2018-07-28 05:00:00,11354.0
2018-07-28 06:00:00,11571.0
2018-07-28 07:00:00,11619.0
2018-07-28 08:00:00,12022.0
2018-07-28 09:00:00,12744.0
2018-07-28 10:00:00,13463.0
2018-07-28 11:00:00,14308.0
2018-07-28 12:00:00,15027.0
2018-07-28 13:00:00,15471.0
2018-07-28 14:00:00,15893.0
2018-07-28 15:00:00,16327.0
2018-07-28 16:00:00,16578.0
2018-07-28 17:00:00,16725.0
2018-07-28 18:00:00,16724.0
2018-07-28 19:00:00,16491.0
2018-07-28 20:00:00,15861.0
2018-07-28 21:00:00,15284.0
2018-07-28 22:00:00,14937.0
2018-07-28 23:00:00,14094.0
2018-07-29 00:00:00,13017.0
2018-07-27 01:00:00,14057.0
2018-07-27 02:00:00,13320.0
2018-07-27 03:00:00,12846.0
2018-07-27 04:00:00,12512.0
2018-07-27 05:00:00,12533.0
2018-07-27 06:00:00,12956.0
2018-07-27 07:00:00,13557.0
2018-07-27 08:00:00,14244.0
2018-07-27 09:00:00,15032.0
2018-07-27 10:00:00,15813.0
2018-07-27 11:00:00,16675.0
2018-07-27 12:00:00,17286.0
2018-07-27 13:00:00,17871.0
2018-07-27 14:00:00,18267.0
2018-07-27 15:00:00,18431.0
2018-07-27 16:00:00,18505.0
2018-07-27 17:00:00,18641.0
2018-07-27 18:00:00,18534.0
2018-07-27 19:00:00,18104.0
2018-07-27 20:00:00,17423.0
2018-07-27 21:00:00,16633.0
2018-07-27 22:00:00,16137.0
2018-07-27 23:00:00,15095.0
2018-07-28 00:00:00,13885.0
2018-07-26 01:00:00,13865.0
2018-07-26 02:00:00,13179.0
2018-07-26 03:00:00,12668.0
2018-07-26 04:00:00,12411.0
2018-07-26 05:00:00,12392.0
2018-07-26 06:00:00,12860.0
2018-07-26 07:00:00,13465.0
2018-07-26 08:00:00,14166.0
2018-07-26 09:00:00,15062.0
2018-07-26 10:00:00,15918.0
2018-07-26 11:00:00,16878.0
2018-07-26 12:00:00,17878.0
2018-07-26 13:00:00,18642.0
2018-07-26 14:00:00,19398.0
2018-07-26 15:00:00,19752.0
2018-07-26 16:00:00,20107.0
2018-07-26 17:00:00,20356.0
2018-07-26 18:00:00,20055.0
2018-07-26 19:00:00,19641.0
2018-07-26 20:00:00,19006.0
2018-07-26 21:00:00,18322.0
2018-07-26 22:00:00,17804.0
2018-07-26 23:00:00,16530.0
2018-07-27 00:00:00,15127.0
2018-07-25 01:00:00,13990.0
2018-07-25 02:00:00,13394.0
2018-07-25 03:00:00,12956.0
2018-07-25 04:00:00,12717.0
2018-07-25 05:00:00,12697.0
2018-07-25 06:00:00,13216.0
2018-07-25 07:00:00,13972.0
2018-07-25 08:00:00,14751.0
2018-07-25 09:00:00,15445.0
2018-07-25 10:00:00,16246.0
2018-07-25 11:00:00,17285.0
2018-07-25 12:00:00,18014.0
2018-07-25 13:00:00,18618.0
2018-07-25 14:00:00,19225.0
2018-07-25 15:00:00,19740.0
2018-07-25 16:00:00,19756.0
2018-07-25 17:00:00,19718.0
2018-07-25 18:00:00,19544.0
2018-07-25 19:00:00,19198.0
2018-07-25 20:00:00,18728.0
2018-07-25 21:00:00,18033.0
2018-07-25 22:00:00,17561.0
2018-07-25 23:00:00,16349.0
2018-07-26 00:00:00,15027.0
2018-07-24 01:00:00,13903.0
2018-07-24 02:00:00,13216.0
2018-07-24 03:00:00,12828.0
2018-07-24 04:00:00,12546.0
2018-07-24 05:00:00,12673.0
2018-07-24 06:00:00,13096.0
2018-07-24 07:00:00,13855.0
2018-07-24 08:00:00,14451.0
2018-07-24 09:00:00,15102.0
2018-07-24 10:00:00,15648.0
2018-07-24 11:00:00,16367.0
2018-07-24 12:00:00,16828.0
